timestamp,open,high,low,close,volume
2025-04-18 09:15:00,22404.26,22417.28,22390.65,22398.97,389960
2025-04-18 09:20:00,22410.74,22421.24,22404.98,22410.28,141367
2025-04-18 09:25:00,22416.72,22422.81,22404.75,22424.94,250783
2025-04-18 09:30:00,22417.24,22431.49,22411.66,22410.98,427304
2025-04-18 09:35:00,22408.93,22416.71,22394.06,22415.92,103073
2025-04-18 09:40:00,22413.34,22421.85,22400.04,22415.23,286198
2025-04-18 09:45:00,22404.14,22414.58,22396.95,22405.2,468385
2025-04-18 09:50:00,22424.14,22431.77,22410.49,22424.0,292100
2025-04-18 09:55:00,22420.12,22431.13,22413.85,22425.72,414332
2025-04-18 10:00:00,22425.52,22431.99,22413.59,22429.68,487761
2025-04-18 10:05:00,22406.48,22415.82,22393.12,22407.37,371948
2025-04-18 10:10:00,22425.96,22439.04,22420.16,22423.24,258817
2025-04-18 10:15:00,22429.87,22439.13,22420.8,22427.72,350684
2025-04-18 10:20:00,22442.33,22450.05,22430.93,22444.86,366673
2025-04-18 10:25:00,22438.08,22452.24,22429.93,22429.61,284709
2025-04-18 10:30:00,22459.44,22472.74,22448.33,22452.44,497776
2025-04-18 10:35:00,22447.8,22453.62,22441.11,22443.54,405651
2025-04-18 10:40:00,22433.46,22439.53,22419.79,22440.98,119988
2025-04-18 10:45:00,22454.61,22462.68,22443.81,22450.6,433078
2025-04-18 10:50:00,22460.73,22472.78,22448.06,22462.41,445826
2025-04-18 10:55:00,22461.76,22474.58,22451.73,22469.81,317967
2025-04-18 11:00:00,22459.92,22473.69,22449.63,22465.19,373004
2025-04-18 11:05:00,22466.08,22476.45,22454.54,22456.93,396717
2025-04-18 11:10:00,22455.66,22462.93,22441.93,22455.0,187707
2025-04-18 11:15:00,22454.24,22459.4,22441.59,22452.49,310151
2025-04-18 11:20:00,22469.95,22479.65,22456.26,22464.18,317236
2025-04-18 11:25:00,22479.73,22493.61,22473.36,22477.13,348030
2025-04-18 11:30:00,22486.15,22497.8,22474.47,22484.61,382929
2025-04-18 11:35:00,22477.26,22491.12,22464.47,22483.21,491286
2025-04-18 11:40:00,22478.26,22488.43,22464.66,22475.51,434672
2025-04-18 11:45:00,22488.18,22498.78,22477.22,22492.88,476151
